Region,Disposition_Code,Description,Dialer_Dispo,Agent_Dispo,isConnect,isRight_Party_Contact,isCallback,isDo_Not_Call,isExclude,isAbort,isLeft_Message,isDialed,isPromise,IsAbandon,IsResolution,IsContact,IsApprove,IsCancel,IsDecline,IsEmailSent,IsLetterSent,IsOther,IsReferredforOverride,IsSmsSent,IsTransferredCall,IsUnableToDecisionApp,IsCallNotneeded,IsDecisioned,IsBankReferenced,Channel
Domestic,0,Inbound Abandoned,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,3T,3 Tone,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,AA,Outbound - Answering Machine No Message,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,AH,Outbound - Call Abandoned on Hold,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,ALMUNK,Unknown - System Applied,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,AM,Outbound - Answering Machine Left Message,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,AMDML,Played Message On Answering Machine,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,BL,Outbound - No Dial Tone,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,BN,Outbound - Invalid Phone Number,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,BZ,Outbound - Busy,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,C,Contact,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,CB,Outbound - Callback (Pool),0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,CC_EXP,Record Restricted - Exclude List,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,CC_NRT,Outbound - Invalid Phone Number,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,CC_SFL,Call Complete After System Failure,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,CC_SPC,Superceded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,CCSPC,Superceded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,CNC,Contact - No Call,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,DAC,Abort - Customer Hung Up On Hold,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,DAD,Dialer Dropped Customer After Hold,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,DAM,Outbound - Answering Machine,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,DBU,Outbound - Busy,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,DCB,Call Forward - No Answer,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,DD,Fax - Modem,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
Domestic,DEFAULT,Default - Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dialer
